DHSCLUST,mal_prev,lon,lat
1,0.055555556,-2.879196695,5.051751494
2,0.357142857,-1.95699439,4.894173438
3,0,-1.766577684,4.906295081
4,0.142857143,-1.758285539,4.92662869
5,0,-1.753012587,4.918970823
6,0.266666667,-1.703846404,4.962591126
7,0.090909091,-1.721334075,4.986811618
8,0.166666667,-2.140475808,5.441308026
9,0.166666667,-2.577175569,6.385529071
10,0,-2.913109598,5.075465404
11,0,-2.224973477,4.903484209
12,0.4,-1.693155701,4.986049645
13,0.454545455,-2.041669589,4.929370356
14,0.3,-1.924191162,5.477978711
16,0.576923077,-2.841003926,5.834121469
17,0.272727273,-2.507682147,6.212834783
18,0.5,-2.303717756,6.360856036
19,0.6,-3.152550945,6.725654898
20,0.416666667,-3.052668682,6.151815423
21,0.157894737,-1.499656376,5.09044353
22,0,-1.25614357,5.127109709
23,0.111111111,-1.082264187,5.211566728
24,0.5,-0.986126461,5.462911673
25,0.181818182,-0.639511966,5.349629239
26,0,-0.481876983,5.526755813
27,0.25,-0.720785251,5.624995587
28,0.5,-0.78973706,5.611592732
29,0.307692308,-1.311323614,5.822854354
30,0,-0.442591545,5.546375107
31,0.357142857,-1.351365151,5.171849976
32,0.470588235,-1.082258798,5.271901846
33,0.769230769,-1.050041376,5.355852811
34,0.285714286,-0.84620369,5.339424478
35,0.333333333,-0.575043967,5.491444704
36,0.454545455,-0.555286,5.705355
37,0.588235294,-0.948377699,5.682666174
38,0.3125,-1.250722679,5.58780267
39,0.5,-1.50936482,5.903824052
40,0.428571429,-1.95981796,6.021002758
41,0.153846154,-0.965769855,5.262792752
42,0.142857143,-0.339211513,5.5126572
43,0.083333333,-0.421850209,5.534501055
45,0,-0.229986186,5.63289017
46,0,-0.270383594,5.531336844
47,0,-0.22828343,5.536394297
48,0,-0.256998281,5.556028245
49,0,-0.219287954,5.532941899
50,0,-0.220377026,5.57082882
51,0,-0.185152554,5.595279816
52,0,-0.199286676,5.605910082
53,0,-0.26972376,5.556876831
54,0,-0.235086088,5.586469859
55,0,-0.227906159,5.606448691
56,0,-0.162388167,5.650621336
57,0,-0.089970406,5.602597716
58,0,-0.035707127,5.689651856
59,0,-0.015784558,5.631454393
60,0,0.017447729,5.643684649
61,0,-0.289887602,5.619825532
62,0,-0.152619045,5.565887692
63,0,-0.172758459,5.684340934
64,0,-0.355575824,5.638090409
66,0.058823529,0.981557791,5.875126267
67,0.2,1.197286806,6.126685116
68,0.444444444,0.396787455,6.563817507
69,0,0.458764458,6.62846959
70,0,0.466967906,7.149967896
71,0.428571429,0.484697881,7.540081006
72,0,0.138976928,6.254757215
73,0.125,0.645956738,5.921917337
74,0,0.89911199,6.00452466
75,0.166666667,1.059507609,6.143444545
76,0.333333333,0.774635089,6.110696188
77,0.3,0.734760615,6.465989942
78,0.428571429,0.208373038,6.546516058
80,0.083333333,0.479503755,7.383695996
81,0.75,0.133058,8.025094
82,0.76,0.580722993,8.510746977
83,0.4,0.854410167,6.360549189
85,0.2,0.29381913,6.785118189
86,0.375,-0.995882591,5.838749161
87,0,-0.9910742,5.93683607
88,0.2,-0.434966156,6.042699927
89,0,-0.247452325,6.059844306
90,0.2,-0.236399378,6.062991421
91,0.125,0.058592109,6.188984611
92,0.272727273,-0.499575846,6.122652904
93,0.4,-0.835921384,6.110254208
94,0.416666667,-0.587284638,6.420446645
95,0.125,-0.486859845,5.804685655
96,0.714285714,-1.013282056,5.887567086
97,0.181818182,-0.452440581,5.995290921
98,0.411764706,-0.262545047,6.032112023
99,0,0.077906858,6.251985669
100,0.2,-0.351343744,6.327790043
101,0,-0.787702618,6.149323934
102,0.357142857,-0.998118774,6.356464852
103,0.052631579,-0.781823755,6.53437039
104,0.68,-0.021080718,6.838951423
105,0.714285714,-0.543019983,5.880541202
106,0.230769231,-0.889568584,6.031491407
107,0,-1.672258813,6.193967721
108,0.416666667,-1.229799737,6.610868735
109,0,-1.648006071,6.693788865
110,0,-1.642582918,6.648491119
111,0,-1.59988271,6.685937424
112,0,-1.612766748,6.65297004
113,0,-1.58994311,6.678639088
114,0.2,-1.58887491,6.693755179
115,0,-1.602598367,6.739906478
116,0.095238095,-1.630602343,6.722244173
117,0,-1.639166964,6.700995013
118,0,-1.643377898,6.735406396
120,0,-1.40480201,6.853846797
121,0,-1.58686422,6.690245192
122,0,-1.571987269,6.715205589
123,0.421052632,-2.011154404,6.479248581
124,0.636363636,-1.819890064,6.029742043
126,0.25,-1.397013593,6.333754241
127,0.076923077,-1.482241703,6.684017714
128,0,-1.79773816,6.680218863
129,0.545454545,-2.022465477,7.054583286
130,0.0625,-1.642199617,6.871951166
131,0.1,-1.365912741,6.936046217
132,0.2,-2.505574744,6.789121464
133,0,-2.865843072,7.279823871
134,0.5,-2.23942219,7.220876077
135,0,-2.328178889,7.339729624
136,0.25,-2.577814435,7.435487689
137,0.181818182,-2.706015153,7.806855641
138,0,-1.973153847,7.453769383
139,0.214285714,-1.660976619,7.425034251
140,0.7,-0.986375532,7.775004704
141,0.214285714,-1.720115124,8.078252269
142,0.578947368,-2.726298452,6.662829407
143,0.5,-2.886360432,7.179946971
144,0.142857143,-2.183391594,7.079481024
145,0.1,-2.591642634,7.487798496
146,0.9,-2.548322067,7.753093936
147,0.6,-1.861542267,7.595948079
148,0.625,-0.87681637,7.69517222
149,0.294117647,-0.663093003,8.206621713
150,0.538461538,-2.325871386,6.692210909
151,0.466666667,0.161964911,7.339313297
152,0.055555556,-0.515156017,8.550928596
153,0.266666667,-0.01064354,9.456112749
154,0.055555556,-0.860740115,9.385923491
155,0,-0.825515848,9.6893144
156,0.102564103,-0.640249912,10.29867875
157,0.025,-0.82346568,9.415234828
158,0.285714286,-2.569316583,9.0732608
159,0.114285714,-1.042824124,8.728074139
160,0.235294118,-0.484498051,8.603546178
161,0.266666667,-0.030369652,8.499678713
162,0.342857143,0.07789442,9.021977725
163,0.125,-0.701560411,9.34112286
164,0.266666667,-0.832981777,9.766375273
165,0.192307692,0.195105754,9.432376233
166,0.21875,-0.118582209,10.44071138
167,0.333333333,-0.480004949,10.49030972
168,0.11627907,-0.936378372,9.574082753
170,0.076923077,-1.09234206,10.89725776
171,0.133333333,-0.848860047,10.80426518
172,0.333333333,-0.502677033,10.94186158
173,0.055555556,-0.244848793,11.06550803
174,0.545454545,-1.239945715,10.63714694
175,0.090909091,-1.309196417,10.97976107
176,0.230769231,-1.077197339,10.8139195
177,0.1,-0.84665129,10.72450387
178,0.125,-0.851252877,10.5884531
179,0.454545455,-0.771961849,10.7564074
180,0.473684211,-0.799590037,10.95566241
181,0.5,-0.457812593,10.89460925
182,0.375,-0.13832593,10.82363472
183,0.421052632,-0.112624475,10.99061874
184,0.52,-1.402242783,10.62265445
185,0.357142857,-0.366395957,10.94581712
186,0,-2.506908248,10.05390334
187,0,-2.504015677,10.06859602
188,0.125,-2.682668529,10.54175137
189,0.407407407,-2.750962623,9.731873795
190,0.56,-2.719620976,9.987083875
191,0.166666667,-2.466881922,10.11222568
192,0.15,-2.184390946,9.998957574
193,0.047619048,-1.836919937,10.6841469
194,0.176470588,-2.468410802,10.24258445
195,0,-2.614040952,10.53247917
196,0.285714286,-2.695764016,10.52784564
197,0.32,-2.383734447,10.8391037
198,0.314285714,-2.604201242,10.93996672
199,0.285714286,-2.849166,10.67243721
200,0.238095238,-2.73860881,10.74190399
